kata,dasar,stopword,sinonim
lambang,Ya,Bukan,atribut|cap|emblem|ikon|karakter|kode|markah|petunjuk|simbol|sinyal|tanda
lambat,Ya,Bukan,ayal|gial|lamban|lelet|payah|pelan|sendat|alon-alon|lama|laun|idiot|imbesil|lemah|terbelakang|tunagrahita
lampu,Ya,Bukan,alat penerangan
lancar,Ya,Bukan,geladir|laju|lampias|bijak|calak|fasih|galir|lincir|pandai bicara|pantas mulut |petah lidah|halus|lemas
lancong,Ya,Bukan,berdarmawisata|berekreasi|berkelah|berpelesir|berpesiar|bertamasya|berwisata|dolan|jalan-jalan|piknik|melonco-lonco
landai,Ya,Bukan,miring|pantai|sondai
landas,Ya,Bukan,alas|tumpuan
langgar,Ya,Bukan,bentur|tabrak|bandarsah|menasah|musala|surau|zawiat
langgan,Ya,Bukan,berabonemen|melanggani
langit,Ya,Bukan,angkasa|antariksa|awang-awang|bumantara|cakrawala|dirgantara|tawang|udara
langka,Ya,Bukan,ganjil|garib|jarang|larang|mahal|nadir|sedikit|sulit
langkah,Ya,Bukan,tindak|aksi|gajak|kelakuan|kiprah|perbuatan|sepak terjang|tindakan|keputusan|sikap|bagian|tahap|jalan|metode|modus operandi|prosedur|siasat|strategi
langsung,Ya,Bukan,melantas|terus|a direk |kontan |refleks|serentak|serta-merta|spon-tan|a jitu|kategoris|telak|tepat
lanjut,Ya,Ya,berumur|tua|a alot|berkepanjangan|liat|sendat|sulit|a dalam|tinggi|v
lantai,Ya,Bukan,dek|geladak|lunas|dasar|taris
lantas,Ya,Bukan,arkian|baru|kalakian|kemudian|lalu|sesudah itu|adv langsung|sertamerta|terus
lapak,Ya,Bukan,tempat|alas|bantalan|lambar|lapik|sarap|tatakan
lapang,Ya,Bukan,belantara|lebar|luas|bambang|banglas|jelah|lantang|lawah|leluasa|lepas|melawas|lega|plong|anggal|lengang|lowong|luang|senggang|longgar
lapis,Ya,Bukan,limpit|rangkap|susun|lapisan
lapor,Ya,Bukan,memberi tahu|mengadu
laporan,Bukan,Bukan,berita|informasi|kabar|keterangan|liputan|masukan|petunjuk|warta
larang,Ya,Bukan,melalau|membendung|memintasi|menahan|mencegah|menegah|mengekang|mengendalikan|menghalangi|mengontrol|menjangankan|mengharamkan
lari,Ya,Bukan,kabur|pergi|desersi|mangkir 
laris,Ya,Bukan,kayun|laku|larap
laut,Bukan,Bukan,bahar|samudra
layak,Ya,Bukan,adekuat|cukup|memadai|pas|labut|laik|merdesa|mustahak|pantas|patut|semenggah|senonoh|setimpal|sumbut|surup|tampan|wajar|akseptabel|cocok|mulia|terhormat
layan,Ya,Bukan,meladeni|membantu|menyervis|melawan|menghadapi|menimpali|membalas|membenakan|membilang|memerhatikan|menanggapi|mengambil bena|mengasi|menggubris|menghiraukan|mengindahkan|menjawab|menyambut|merespons|melaksanakan|melakukan|mengendalikan|mengoperasikan|menjalankan
lazim,Ya,Bukan,biasa|galib|jamak|kaprah|lumrah|natural|normal|regular|tipikal|umum|wajar|baku|banal|formal|konvensional|lugu|naif|polos|populer|sederhana|standard|stereotip
lebar,Ya,Bukan,bidang|jebab|belantara|lapang|luas
lebaran,Ya,Bukan,ldulfitri|idulfitri
lebat,Ya,Bukan,baplang|rimbun|tebal|deras
legal,Ya,Bukan,aci|asi|benar|berlaku|halal|resmi|sahih|valid
legalisasi,Ya,Bukan,akreditasi|pengakuan|pengesahan|pengukuhan|peresmian|validasi
legalitas,Ya,Bukan,keabsahan|kesahihan|validitas
lekas,Ya,Bukan,acap|bangat|buru-buru|cepat|kunjung|segera|taajul
lekat,Ya,Bukan,lekap|lengket|likat|rekat|erat|kelat|ketat
leluasa,Ya,Bukan,bebas|berlapang-lapang|langgas|los |merdeka|lapang|lega|longgar|selesa|bambang|banglas|jelah|lantang|lawah|lepas|luas|lawas
lemah,Ya,Bukan,benyai |bokoh|bopok |dengkik|layuh|lemas|lemau|lenyai|lesu|letoi|litak|loyo|lunglai|rengsa|ruai|teklok
lembaga,Ya,Bukan,badan|dewan|institusi|institut|majelis|organisasi|dinas|instansi|jabatan|jawatan|kantor|maktab|asal
lengkap,Ya,Bukan,afdal|bulat|cukup|genap|integral|jangkap|kafi|kamil|komplet|penuh|pepak|sempurna|tamam|utuh|paripurna|pleno|besar|eksekutif|ensiklopedis|komprehensif|menyeluruh
lepas,Ya,Bukan,terlepas|a independen|mandiri|merdeka|otonom|swapraja|swasembada
lestari,Ya,Bukan,abadi|abid|baka|baki|daim|kekal|langgeng|selama-lamanya|sepanjang masa|tetap
letak,Ya,Bukan,lokasi|posisi|situs|tempat|keadaan|kedudukan|situasi|lemah|lemas|lesu|payah|lapar
level,Ya,Bukan,cak golongan|kelas|lapisan|tangga|tataran|tingkatan
libur,Ya,Bukan,prei 
licin,Ya,Bukan,lecat|lelas|lencong|lencun|licik|lincir|pasar|gampang|gangsar|lancar|lasuh|mudah|halus|klimis|lembut|mulus|berlinang|ki bersih|habis|labas|lindang|lingkap|ludes|tandas|timpas |ki
lihat,Ya,Bukan,amat-amati|blengok|celik|cendang|cengang|codak|congak|dengik|dongak|jelang|jelangak|jelau|jenguk|jengul|jereng|jingau|juling|jumpa|kelih|kero|kunjung|langut|lawat|lenggak|letos|lihat-lihat|lirik|longok|melotot|membelalak|membelalang|membeliak|membulat|mendelik|mengerling|menjegil|menjeling|menyalang|pandang|pandang berkeliling|pandang ke sanakemari|pandang lekat|pantau|perhati|pesong|ramal|ranggul|renung|renung|runduk|sambang|kunjung|sela|sidik|tampak|tatap|tekur|teleng|temu|tengadah|tengok|tentang|tenung|tilik|tingkap|tinjau|tonton|tujum|tunduk|melihat v  memandang|menampak|mengelih|menjelang|menonton|menyaksikan|merenung|pirsa|melongok|meninjau|menoleh|menyilau|melirik|mencerling|mengambal|mengerling|menjeling|menjuling|memindai|memerhatikan|menatap|mencerap|menentang|mengamati|memata-matai|mengintai|mengintip|membelek|membidik|mengincar|memeriksa|mengawasi|mengecek|menilik|membesuk|menengok|menjenguk|membuktikan|mengetahui
lingkar,Ya,Bukan,bingkai|gelung|simpai|lintar
lingkungan,Bukan,Bukan,alam|bumi|dunia|jagat
lintas,Ya,Bukan,lin|rute|trayek
lintasan,Bukan,Bukan,gang|jalan|jalur|lebuh|lorong
lipat,Ya,Bukan,lepit|n ganda
liput,Ya,Bukan,melaporkan|memberitakan|mengabarkan
lokal,Ya,Bukan,domestik|tempatan|regional|dalam
lokasi,Ya,Bukan,kedudukan|letak|posisi|situs|tempat
lompat,Ya,Bukan,kinja|loncat|lonjak
loncat,Ya,Bukan,lompat
longgar,Ya,Bukan,belandung|kebesaran|kombor|komprang|loloh|dol|galir|ganggang|loncer|los|perlup |speling
luang,Ya,Bukan,anggal|lapang|lega|lengang|longgar|lowong|sempat|senggang
luas,Ya,Bukan,belantara|besar|lapang|lebar|selebu|a umum|a merata|n dimensi|format|ukuran|a bambang|banglas|jelah|lantang|lapang|lawah|lawas|leluasa|lepas|a ekstensif|ensiklopedis|matang
luput,Ya,Bukan,bebas|khali|lolos|selamat|sunyi|terhindar|terlepas|tersiah|luncas|melenceng|meleset|sipi|gagal|keliru|pelak|salah|v hilang|lepas|terhindar|terlewat
lurus,Ya,Bukan,lempeng|lencang|kejur|tegak|vertikal|ki baik|jujur|mulus|polos|sadik|setia|terbuka|tulus|benar|betul|hak|normal|sehat|stabil|hadiah|literal
maaf,Ya,Bukan,ampun
mabuk,Ya,Bukan,gayang|gila|hilang ingatan|jangar|khayali|lengar|lupa daratan|lupa
macam,Ya,Ya,bagai|bangsa|bentuk|corak|jenis|model|ragam|rupa|p bagai|seperti
macet,Ya,Bukan,bencat|galang|gencat|ketat|pampat|sempit|sendat|serat|terbengkalai|tergencat|terhalang|terhambat|terhenti|tersangkut|tersumbat|tertahan|lumpuh|mandek|mengadat|mogok|rewel|rusak|terbengkalai
magma,Ya,Bukan,isi perut (bumi)|ladu|lahar|lava
maha,Bukan,Bukan,sangat
maha,Bukan,Bukan,amat
mahal,Ya,Bukan,garib|langka
mahasiswa,Ya,Bukan,pelajar|murid|siswa
mahasiswi,Ya,Bukan,pelajar|murid
main,Ya,Bukan,berjalan|berlangsung|berperan
mainan,Bukan,Bukan,hiburan|permainan
majalah,Ya,Bukan,akbar|barang cetakan|buku|jurnal|organ|risalah|surat berkala
maju,Ya,Bukan,berkembang|lanjut|lulus|mara|melaju|melantas|a liberal|modern|progresif
maka,Ya,Ya,alkisah|bahwa|hingga|lalu|dan
makan,Ya,Bukan,dahar|mamah|santap
makanan,Bukan,Bukan,incaran|konsumsi|mangsa|pangan|rezeki|santapan|sasaran
makhluk hidup,Bukan,Bukan,organisme
maksimal,Ya,Bukan,maksimum|mentok|pol|sebanyak-banyaknya|setinggi-tingginya|suntuk|tertinggi
maksimum,Ya,Bukan,maksimal|paling banyak|paling besar|paling tinggi|penuh|pol|teratas|tertinggi|top
maksud,Ya,Bukan,angan-angan|arah|arti|bunyi|cita-cita|hajat|haluan|harapan|hasrat|hikmat|huyung|ijtihad|implikasi|isi|juntrungan|kecondongan|kehendak|keinginan|makna|matlamat|mau|murad|niat|pamrih|pendapat|rencana|sasaran|semangat|siratan|tafsiran|target|tembakan|tendensi|tujuan|tuntutan|ujud|wujud
malah,Ya,Ya,apalagi|bahkan|justru|lebih lagi|lebih-lebih|malar-malar|sampai-sampai|tambahan pula|terlebih
manfaat,Ya,Bukan,arti|faedah|fungsi|guna|harga|kebaikan|kemaslahatan|keuntungan|khasiat|laba|untung|utilitas
mantap,Ya,Bukan,afdal|aman|konsisten|konstan|kuat|kukuh|mapan|pagan|pasti|percaya
masalah,Ya,Ya,bab|hal|ihwal|kasus|kejadian|kesulitan|pasal|penyakit |perkara|persoalan|pertanyaan|problem|soal|urusan
mau,Ya,Ya,akan|amuh|bakal|berkenan|bersedia|bersetuju|domba|embuh|hendak|kasdu|kasik|kepingin|lepau|sanggup|sedia|sir|solak|sudi|suka
meja,Ya,Bukan,bidang datar|kenap
memang,Ya,Ya,ada|benar|benar-benar|cengki|cengli|dasar|masuk akal|patut|sebenarnya|sungguh|sungguh-sungguh
membagi,Bukan,Bukan,memaruh|membelah|memecah|memenggal|memilah|memisah|memotong|memberi|mengasih
membaik,Bukan,Bukan,pulih|sehat|sembuh
meski,Ya,Ya,biar|kendati|lamun|pun|sungguhpun|walaupun
meskipun,Bukan,Ya,biarpun|kendatipun|maupun|sedangkan|sekalipun|selangkan|sungguhpun|walaki|walaupun
mewah,Ya,Bukan,berlebih-lebihan|glamor|kaya|lewah|melimpah ruah|penuh ruah
milik,Ya,Bukan,eigendom|hak|hoki|kepunyaan|nasib baik|peruntungan|properti
minggu,Ya,Bukan,ahad|pekan
misal,Ya,Ya,aci-aci|amsal|andai-andai|contoh|ibarat|laksana|perumpaan|umpama
natural,Ya,Bukan,alami|alamiah|biasa|jamak|lazim|lumrah|reguler|wajar|bersahaja|jujur|lugu|naif|spontan|tulus
nyaman,Ya,Bukan,adem|aman|bugar|damai|enak|fit|makmur|naim|nikmat|sedap|segar|sehat|sejuk|selesa|senang|sip |tenteram
obat,Ya,Bukan,penawar|remedi
oleh,Ya,Ya,cak  sama|akibat|karena|sebab|bagi|untuk
pada,Ya,Ya,cak  ala|atas|di|cukup|lumayan|sedang|lega|plong|puas|tenang
pada awalnya,Bukan,Bukan,lebih dahulu
pagi-pagi,Bukan,Bukan,awal
paham,Ya,Bukan,pengertian|n anggapan|asumsi|kesimpulan|opini|pendapat|pendirian|pikiran|simpulan|suara|v bangun|engah|grahita|insaf|mafhum|maklum|mengerti|pirsa|sadar|tahu  a ahli|cakap|kompeten|mahir|pintar|n adicita|ajaran|aliran|doktrin|fikrah|filsafat|haluan|ideologi|mazhab|pan-dangan|prinsip
paling,Ya,Ya,membelokkan|memutar|mengelokkan|menyesatkan|menyimpangkan|amat|teramat
pamer,Ya,Bukan,memajang|memperagakan|memperlihatkan|mempertontonkan|mempertunjukkan|menampakkan|mendemonstrasikan|mengekspos|menonjolkan
pameran,Bukan,Bukan,demonstrasi|ekshibisi|eksposisi|peragaan|pertunjukan
panas,Ya,Bukan,bahang|kolor|a beringsang|gerah|n dedar|demam|meriang|n kemarau|kering|a berbahaya|bergolak|gawat|genting|kritis|tegang|a ki erotis|hot |memberahikan|menggairahkan|menggiurkan|merangsang|seksi|sensual|seronok
pariwisata,Ya,Bukan,pelancongan|turisme|wisata
partisipasi,Ya,Bukan,kesertaan|keikutsertaan|keterlibatan|kontribusi|kerja sama|peran
pasangan,Bukan,Bukan,bagian|imbangan|jodoh|kembaran|larap|lawan|partner|sandingan|setelan |tandingan|teman|sematan|tempelan
pasti,Ya,Ya,absolut|aman|benar|definit|jelas|kategoris|konstan|mantap|mesti|niscaya|nyata|persis |positif|puguh|sabit|sah|sip |tandas|tegas|tentu|terang
patah,Ya,Bukan,bias|kupak|pukah|sempal|terpenggal|terpotong|ki bubar|kandas|terhenti
patahan,Bukan,Bukan,keratan|penggalan|potongan
patung,Ya,Bukan,arca|reca
patung-mematung,Bukan,Bukan,pahat-memahat
payah,Ya,Bukan,capek|lelah|letih|penat|akut|berat|biut|gawat|genting|keras|kritis|kronis|lasat|membandel|menahun|parah|sangat|serius|lambat|sendat|melempem|pelik|rumit|runyam|selit belit|sukar|sulit|susah|cengeng|lemah|lembek|rapuh|ringkih|soak 
payung,Ya,Bukan,parasut|payung udara|ki patron|pelindung|pengayom
pedagang,Bukan,Bukan,bakul|biaperi|broker|calo|distributor|grosir|juragan|khoja|pebisnis|pemasok|pemborong|pengasong|pengecer|pengedar|pengekspor|penggalas|pengimpor|pengurup|pengusaha|peniaga|penjaja|penjual|penyalur|peraih|peruncit|pialang|rentenir|saudagar|tauke|tukang kredit|usahawan|wiraniaga
pegawai,Bukan,Bukan,fungsionaris|karyawan|personel|sida-sida|tenaga kerja
pegunungan,Bukan,Bukan,gunung-gemunung|gunung-gunung|rangkaian gunung
pejabat,Bukan,Bukan,administratur|atasan|kepala|majikan|orang besar|pembesar|pemimpin|penggede |pemangku|pemegang|penguasa
pekan,Ya,Bukan,pasar|rekan|minggu
pekerja,Bukan,Bukan,aktivis|pegiat|pelaku|praktisi
pelajar,Bukan,Bukan,anak didik|anak sekolah|cantrik|kadet|mahasiswa|mahasiswi|murid|penuntut|praja|siswa|siswi|studen 
pelan,Ya,Bukan,ayal|lamban|lambat|lelet|halus|lembut|lirih|rendah|alun-alun|lapangan|tanah lapang
pelanggan,Bukan,Bukan,klien|konsumen|nasabah
pelayan,Bukan,Bukan,abdi|babu|bayu|bedinda|benduan|budak|bujang|hamba|jongos|kacung|kawula|khadam|peladen|pembantu|peon|pesuruh|pramuwisma|sahaya|tambi
peliput,Bukan,Bukan,pemberita|penulis
pelosok,Ya,Bukan,ceruk|penjuru|pojok|pelojok|sudut
peluang,Ya,Bukan,angin |harapan|jalan|kans|keleluasaan|kesempatan|pintu 
pemaaf,Bukan,Bukan,lapang hati|pemurah|pengampun|permisif|sabar|toleran
pemahaman,Bukan,Bukan,apresiasi|interpretasi|keinsafan|kesadaran|kognisi
pemakai,Bukan,Bukan,konsumen|nasabah|pelanggan|pengguna
pemakaian,Bukan,Bukan,konsumsi|pemanfaatan|penggunaan
pemalu,Bukan,Bukan,celingus
pemandangan,Bukan,Bukan,pandangan|pengamatan|penglihatan|visi|pengetahuan|wawasan|lansekap|panorama|tamasya|vista|pembicaraan|ulasan|uraian
pemandian,Bukan,Bukan,kolam renang
pemandu,Bukan,Bukan,pembimbing|pengarah|penunjuk jalan|mediator|moderator|penengah
pembangunan,Bukan,Bukan,pembentukan|pendirian|penyusunan|ekspansi|pengembangan|perluasan
pembatas,Bukan,Bukan,dinding|partisi|pemisah|penyekat|pewatas|sekat|tabir|tembok
pembatasan,Bukan,Bukan,pemisahan|penyekatan
pembeli,Bukan,Bukan,konsumen|pemesan
pemberitahuan,Bukan,Bukan,amanat|berita|pemberitaan|pencanangan|kabar
pembersihan,Bukan,Bukan,eliminasi|penghapusan
pemelihara,Bukan,Bukan,pengasuh|pembela|guru|penjaga|perawat
pemeriksaan,Bukan,Bukan,inspeksi|kir |kontrol|pengamatan|pengawasan|pengecekan|penilikan|penjagaan|penyeliaan|supervisi|survei|eksplorasi|investigasi|interogasi|penelitian|pengusutan|peninjauan|penyelidikan|penyidikan|tafahus
pemerintah,Bukan,Bukan,penguasa|negara|negeri
pemerintahan,Bukan,Bukan,rezim|tadbir
pemilik,Bukan,Bukan,pengambil|empunya
pemula,Bukan,Bukan,pembimbing|pembuka jalan|pemimpin|pemuka|peneroka|penganjur|perintis
pemulihan,Bukan,Bukan,penyembuhan|perbaikan|rehabilitasi|pemulangan|pengembalian
penambahan,Bukan,Bukan,interpolasi|kenaikan|peluasan|pemayangan|penggandaan|pengisian|penguluran|peninggian|penokokan|penyisipan
penampilan,Bukan,Bukan,kinerja|prestasi|manifestasi|penampakan|pengejawantahan|performa
penari,Bukan,Bukan,bedaya|penandak|penayub|peronggeng|tukang tari
penataan,Bukan,Bukan,organisasi|pembenahan|pembentukan|penciptaan|penertiban|pengarahan|pengaturan|pengeditan|pengelolaan|pengemasan|pengurusan|penyusunan|penyutradaraan|perakitan|perancangan|perekaan|sistematika|sistematisasi
penawaran,Bukan,Bukan,ijab|negosiasi|pelamaran|pelelangan|penunjukan|permintaan|permohonan|tender
pencaharian,Bukan,Bukan,penghidupan|pekerjaan
pencegah,Bukan,Bukan,pengawas|pembantar|barikade|pengempang|pengawal
pencegahan,Bukan,Bukan,pengawasan|pengharaman|penghindaran|pengawalan|pengekangan
pencemaran,Bukan,Bukan,kontaminasi|pengotoran|polusi
pendahuluan,Bukan,Bukan,alas kata|haluan kata|introduksi|kata pengantar|mukadimah|pembukaan|pengantar kata|pengenalan|permulaan|pimpinan|prakata|prawacana|prolog
pendatang,Bukan,Bukan,ekspatriat|imigran|orang
pendek,Ya,Bukan,cepak|pandak|senteng|sebentar|sececah|sejemang|sejenak|sejurus|sekeceng|sekejap|sekelebat|sekilas|selincam|sepemakan sirih |sepintas|sesaat|kompak|ringkas|simpan|singkat|sontok|sumir 
pendidikan,Bukan,Bukan,bimbingan|didikan|edukasi|kuliah|kursus|pelajaran|pelatihan|pembelajaran|pemberadaban|pembibitan|pemeliharaan|pencerahan|pengajaran|pengasuhan|penggemblengan|penggodokan|sekolah|tarbiah|tuntunan
penduduk,Bukan,Bukan,masyarakat|orang|penghuni|penunggu|populasi|rakyat|warga
penelusuran,Bukan,Bukan,pelacakan|pencarian|penelaahan|penjajakan
penempatan,Bukan,Bukan,peletakan|pemasangan|pemindahan|pembubuhan|pencantuman|penghijrahan|penugasan
penerapan,Bukan,Bukan,aplikasi|implementasi|pelaksanaan|pemakaian|pengamalan|penggunaan|praktik|rekayasa|pemasangan|perakitan|produksi
penerbangan,Bukan,Bukan,perjalanan|penaikan|navigasi
pengalihan,Bukan,Bukan,pelimpahan|pemberian|pemindahan|penggantian|pengubahan|penukaran|penyerahan
pengaman,Bukan,Bukan,laskar|hansip|pendamai|penenteram|pengawal|penjaga|penyelamat|polisi|prajurit|satpam|tentara
pengawas,Bukan,Bukan,bos |inspektur|kepala|mandor|nadir|pemeriksa|pencegah|peneliti|pengamat|pengawal|pengelola|pengontrol|penilik|penjaga|penyelia|penyelidik|peronda|supervisor
pengawasan,Bukan,Bukan,inspeksi|kontrol|pemeliharaan|pemeriksaan|pencegahan|penelitian|pengamatan|pengendalian|penilikan|penjagaan|penyeliaan|perlindungan|supervisi
pengelola,Bukan,Bukan,administrator|kepala|manajer|organisator|pelaksana|pelatih|pemangku|pemerintah|pemimpin|pendidik|pengarah|pengasuh|pengawas|pengurus|penyelenggara|wali
pengelolaan,Bukan,Bukan,manajemen|penyelenggaraan|tata
pengelompokan,Bukan,Bukan,kategorisasi|penggolongan|penjenisan
pengemudi,Bukan,Bukan,joki|juru mudi|kusir|masinis|mualim|nakhoda|pemandu|pendayung|penerbang|pengendara|pilot|sais|sopir
penggalangan,Bukan,Bukan,konsolidasi|pembentukan|peneguhan|pengikatan|penguatan|pengukuhan
pengguna,Bukan,Bukan,konsumen|pemakai
penghasil,Bukan,Bukan,karyawan|pembina|pembuat|pencetus|pencipta|pengilang|pereka|produsen|produser
penghasut,Bukan,Bukan,agitator|batu api|kacang miang|pemfitnah|pengumpat|provokator
penginapan,Bukan,Bukan,pondokan|(rumah) pemalaman|rumah bermalam|rumah tumpangan
pengiriman,Bukan,Bukan,pengangkutan|pengapalan|transportasi|transmisi
pengizinan,Bukan,Bukan,pengesahan
pengorbanan,Bukan,Bukan,dedikasi|loyalitas|pengabdian
pengumuman,Bukan,Bukan,berita|embaran|maklumat|pariwara|pemberitahuan|siaran|warawara|warta|penyebarluasan|penyiaran
pengunjung,Bukan,Bukan,hadirin|tamu
pengurangan,Bukan,Bukan,deklinasi|diskon|kontraksi|pembatasan|pemotongan|penciutan|pengampunan|pengecilan|pengenduran|penurunan|penyusutan|perampingan|peringanan|rabat|reduksi|remisi
pengusaha,Bukan,Bukan,juragan|produser|saudagar|usahawan|wiraswasta|wirausaha
penjadwalan,Bukan,Bukan,pencatatan|pendaftaran|pengagendaan|perencanaan|persiapan
penjualan,Bukan,Bukan,pemasaran|perdagangan
penonton,Bukan,Bukan,pemirsa|pengamat|pirsawan|saksi|spektator
pentas,Ya,Bukan,arena|forum|mimbar|panggung
penunjuk,Bukan,Bukan,indeks|indikator|penanda
penuntutan,Bukan,Bukan,penagihan
penutupan,Bukan,Bukan,pengakhiran|penghentian|penyetopan|penyudahan|pembubaran
penyambutan,Bukan,Bukan,penantian
penyampai,Bukan,Bukan,pelapor|pemberita|wartawan
penyampaian,Bukan,Bukan,pengajuan|dakwah|pendeklamasian|presentasi|penyajian
penyimpan,Bukan,Bukan,penabung
penyuluh,Bukan,Bukan,instruktur|pelatih|pembimbing|pendidik|pengajar|pengasuh|penjaga|penuntun|agen rahasia|polisi
penyuluhan,Bukan,Bukan,konseling|pengarahan
peraturan,Bukan,Bukan,cara|gaya|kaidah|order|patokan|prinsip|reglemen|sistem|susunan|syarat|tata|tata tertib|tatanan
perbaikan,Bukan,Bukan,koreksi|pembaruan|pembetulan|pemeriksaan|pemindaan|pemugaran|pemulihan|penyempurnaan|perombakan|perubahan|ralat|reformasi|rehabilitasi|rekonsiliasi|rekonstruksi|renovasi|reparasi|restorasi|revisi|servis|suntingan
perbandingan,Bukan,Bukan,analogi|ibarat|kesetaraan|kesetimpalan|komparasi|nisbah|parameter|patokan|pedoman|perbedaan|perimbangan|perpadanan|perpaduan|persamaan|pertimbangan|perumpamaan|proporsi|rasio|skala|tolok ukur
perbanyak,Bukan,Bukan,hitung
perbedaan,Bukan,Bukan,antagonisme|diskrepansi|dismilaritas|disparitas|distingsi|divergensi|farak|kelainan|kontras|parak|pertikaian|selisih|variasi
percobaan,Bukan,Bukan,eksperimen|pemeriksaan|penelitian|penyelidikan|riset|tajribah|tes
perdagangan,Bukan,Bukan,bazar|bursa|ekspor impor|penggalasan|perbelanjaan|perbisnisan|perkulakan|perniagaan
perencanaan,Bukan,Bukan,menghampirkan|penjadwalan|perancangan
peresmian,Bukan,Bukan,pembukaan|legalisasi|pengesahan|validasi
performa,Ya,Bukan,penampilan|prestasi
maaf,Ya,Bukan,ampun
mabuk,Ya,Bukan,gayang|gila|hilang ingatan|jangar|khayali|lengar|lupa daratan|lupa
macam,Ya,Ya,bagai|bangsa|bentuk|corak|jenis|model|ragam|rupa|p bagai|seperti
macet,Ya,Bukan,bencat|galang|gencat|ketat|pampat|sempit|sendat|serat|terbengkalai|tergencat|terhalang|terhambat|terhenti|tersangkut|tersumbat|tertahan|lumpuh|mandek|mengadat|mogok|rewel|rusak|terbengkalai
magma,Ya,Bukan,isi perut (bumi)|ladu|lahar|lava
maha,Bukan,Bukan,sangat
maha,Bukan,Bukan,amat
mahal,Ya,Bukan,garib|langka
mahasiswa,Ya,Bukan,pelajar|murid|siswa
mahasiswi,Ya,Bukan,pelajar|murid
main,Ya,Bukan,berjalan|berlangsung|berperan
mainan,Bukan,Bukan,hiburan|permainan
majalah,Ya,Bukan,akbar|barang cetakan|buku|jurnal|organ|risalah|surat berkala
maju,Ya,Bukan,berkembang|lanjut|lulus|mara|melaju|melantas|a liberal|modern|progresif
maka,Ya,Ya,alkisah|bahwa|hingga|lalu|dan
makan,Ya,Bukan,dahar|mamah|santap
makanan,Bukan,Bukan,incaran|konsumsi|mangsa|pangan|rezeki|santapan|sasaran
makhluk hidup,Bukan,Bukan,organisme
perkebunan,Bukan,Bukan,ladang|perladangan|pertanian
perkembangan,Bukan,Bukan,kelanjutan|kemajuan|pertambahan|pertumbuhan|perubahan|perurutan|jalan|kronologi|urut-urutan
perkenalan,Bukan,Bukan,taaruf
perkiraan,Bukan,Bukan,ancangan|ancar-ancar|anggaran|anggapan|asumsi|dugaan|estimasi|evaluasi|gambaran|pengandaian|perhitungan|prediksi|ramalan|rekaan|spekulasi|taksiran
perkisaran,Bukan,Bukan,peredaran|perputaran|revolusi|rotasi|sirkulasi
perkumpulan,Bukan,Bukan,asosiasi|federasi|gabungan|perhimpunan|perikatan|kelompok|klub|kongsi|masyarakat|persatuan|persekutuan|perserikatan|uni
perlahan,Ya,Bukan,gontai|lembut|rendah|ringan
perlindungan,Bukan,Bukan,asilum|benteng|bungker|perisai|pertahanan|tameng|konservasi|pelestarian|pemeliharaan|penjagaan|perawatan|preservasi|pengamanan|proteksi|sekuriti
perlintasan,Bukan,Bukan,peralihan|transisi
perlu,Ya,Ya,harus|kudu|mesti|niscaya|usah|wajib|a krusial|mendesak|penting|urgen|vital|v butuh|ingin|p demi|untuk
perluasan,Bukan,Bukan,ekspansi|pengembangan
permainan,Bukan,Bukan,mainan|atraksi|pertunjukan|tontonan|tipuan
permasalahan,Bukan,Bukan,persoalan
permintaan,Bukan,Bukan,ajakan|amanat|anjuran|aplikasi|desakan|doa|pengharapan|imbauan|klaim|lamaran|panggilan|permohonan|petisi|pinangan|pinta|rayuan|rekes|seruan|suruhan|tempahan|undangan
permisi,Ya,Bukan,izin|perkenan|v berpamitan|minta diri|minta izin|mohon diri
permohonan,Bukan,Bukan,aplikasi|permintaan|petisi|tuntutan
permukaan,Bukan,Bukan,parasan|bidang|latar|meres|satah|rataan
permukiman,Bukan,Bukan,kawasan tinggal|koloni|kompleks|perumahan
permulaan,Bukan,Bukan,alamat|asal|asas|awal|bakai|dada|dasar|depan|hulu|ibtida|iftitah|kepala|muka|pangkal|pendahuluan|puncak|sedar
pernah,Ya,Ya,sempat|suah|sudah|tahu
perombakan,Bukan,Bukan,penguraian|pembongkaran
perpadanan,Bukan,Bukan,kombinasi|perpaduan
perpaduan,Bukan,Bukan,kombinasi|perpadanan|harmonisasi|persesuaian|sinkronisasi
perpanjangan,Bukan,Bukan,ekstensi|sambungan|tambahan
perpelancongan,Bukan,Bukan,kepariwisataan|turisme
perpindahan,Bukan,Bukan,mutasi|peralihan|peranjakan|pergeseran|transfer|migrasi|anadrom|ruaya
persatuan,Bukan,Bukan,aliansi|asosiasi|blok|bon|gabungan
persaudaraan,Bukan,Bukan,perkerabatan|pertalian
persebaran,Bukan,Bukan,pedaran|sirkulasi
persediaan,Bukan,Bukan,bekal|sangu|sediaan
persen,Ya,Bukan,bayaran|bonus|komisi|obat jerih|pembasuh tangan|premi|tip|uang rokok|upah
persentase,Ya,Bukan,bagian
persiapan,Bukan,Bukan,ancang-ancang|anju|awalan
persinggahan,Bukan,Bukan,pelabuhan|pesanggrahan|tempat singgah
persyaratan,Bukan,Bukan,perjanjian|kualifikasi
pertemanan,Bukan,Bukan,perkawanan|persahabatan
pertemuan,Bukan,Bukan,percakapan|diskusi|perhimpunan|perjamuan|perjodohan
pertengahan,Bukan,Bukan,medio|a rata-rata
